timestamp,date,day_of_week,time,hour,minute,solar_generation_kw,home_consumption_kw,grid_import_kw,grid_export_surplus_kw,net_surplus_kw,delhi_export_tariff_per_kwh,delhi_import_tariff_per_kwh,fair_market_price_per_kwh,earnings_from_export_at_tariff,earnings_from_export_at_fair_price,cost_of_grid_import,voltage_v,frequency_hz,current_a,power_factor,grid_frequency_status
2025-10-24 00:00:00,2025-10-24,Friday,00:00:00,0,0,0.0,0.85,0.85,0.0,-0.85,4.3,8.5,5.5,0.0,0.0,7.22,230.3019761023806,49.91976622461755,3.8901601830663615,0.95,NORMAL
2025-10-24 00:15:00,2025-10-24,Friday,00:15:00,0,15,0.0,0.87,0.87,0.0,-0.87,4.3,8.5,5.5,0.0,0.0,7.39,228.4829283296616,49.884670984453244,3.9816933638443937,0.95,NORMAL
2025-10-24 00:30:00,2025-10-24,Friday,00:30:00,0,30,0.0,0.75,0.75,0.0,-0.75,4.3,8.5,5.5,0.0,0.0,6.38,231.86924428517568,49.950215002336286,3.4324942791762014,0.95,NORMAL
2025-10-24 00:45:00,2025-10-24,Friday,00:45:00,0,45,0.0,0.78,0.78,0.0,-0.78,4.3,8.5,5.5,0.0,0.0,6.63,229.49124358583725,49.90825788344407,3.5697940503432495,0.95,NORMAL
2025-10-24 01:00:00,2025-10-24,Friday,01:00:00,1,0,0.0,0.81,0.81,0.0,-0.81,4.3,8.5,5.5,0.0,0.0,6.89,231.49764588686116,49.88673329008445,3.7070938215102975,0.95,NORMAL
2025-10-24 01:15:00,2025-10-24,Friday,01:15:00,1,15,0.0,0.84,0.84,0.0,-0.84,4.3,8.5,5.5,0.0,0.0,7.14,235.36957273413145,50.04319511464863,3.8443935926773456,0.95,NORMAL
2025-10-24 01:30:00,2025-10-24,Friday,01:30:00,1,30,0.0,0.74,0.74,0.0,-0.74,4.3,8.5,5.5,0.0,0.0,6.29,227.75771399411366,49.90880436699185,3.3867276887871856,0.95,NORMAL
2025-10-24 01:45:00,2025-10-24,Friday,01:45:00,1,45,0.0,0.85,0.85,0.0,-0.85,4.3,8.5,5.5,0.0,0.0,7.22,228.8445834321242,49.8887086837428,3.8901601830663615,0.95,NORMAL
2025-10-24 02:00:00,2025-10-24,Friday,02:00:00,2,0,0.0,0.78,0.78,0.0,-0.78,4.3,8.5,5.5,0.0,0.0,6.63,228.94711321211958,50.001052905973545,3.5697940503432495,0.95,NORMAL
2025-10-24 02:15:00,2025-10-24,Friday,02:15:00,2,15,0.0,0.77,0.77,0.0,-0.77,4.3,8.5,5.5,0.0,0.0,6.54,233.0124134819624,49.859610413597665,3.5240274599542336,0.95,NORMAL
2025-10-24 02:30:00,2025-10-24,Friday,02:30:00,2,30,0.0,0.78,0.78,0.0,-0.78,4.3,8.5,5.5,0.0,0.0,6.63,233.02246332877934,49.864342441017534,3.5697940503432495,0.95,NORMAL
2025-10-24 02:45:00,2025-10-24,Friday,02:45:00,2,45,0.0,0.83,0.83,0.0,-0.83,4.3,8.5,5.5,0.0,0.0,7.05,228.51147076622252,49.938103096233746,3.7986270022883297,0.95,NORMAL
2025-10-24 03:00:00,2025-10-24,Friday,03:00:00,3,0,0.0,0.76,0.76,0.0,-0.76,4.3,8.5,5.5,0.0,0.0,6.46,223.6106510864445,49.99402074988208,3.4782608695652173,0.95,NORMAL
2025-10-24 03:15:00,2025-10-24,Friday,03:15:00,3,15,0.0,0.83,0.83,0.0,-0.83,4.3,8.5,5.5,0.0,0.0,7.05,228.31639723275103,49.97633618752341,3.7986270022883297,0.95,NORMAL
2025-10-24 03:30:00,2025-10-24,Friday,03:30:00,3,30,0.0,0.86,0.86,0.0,-0.86,4.3,8.5,5.5,0.0,0.0,7.31,232.82713649131492,49.87712041162255,3.935926773455378,0.95,NORMAL
2025-10-24 03:45:00,2025-10-24,Friday,03:45:00,3,45,0.0,0.82,0.82,0.0,-0.82,4.3,8.5,5.5,0.0,0.0,6.97,233.32495969442482,49.97289108124631,3.7528604118993134,0.95,NORMAL
2025-10-24 04:00:00,2025-10-24,Friday,04:00:00,4,0,0.0,0.72,0.72,0.0,-0.72,4.3,8.5,5.5,0.0,0.0,6.12,231.4742363297545,50.033178850357054,3.2951945080091534,0.95,NORMAL
2025-10-24 04:15:00,2025-10-24,Friday,04:15:00,4,15,0.0,0.78,0.78,0.0,-0.78,4.3,8.5,5.5,0.0,0.0,6.63,228.36013669258324,49.97079218133784,3.5697940503432495,0.95,NORMAL
2025-10-24 04:30:00,2025-10-24,Friday,04:30:00,4,30,0.0,0.77,0.77,0.0,-0.77,4.3,8.5,5.5,0.0,0.0,6.54,233.08334015579396,49.949327653717546,3.5240274599542336,0.95,NORMAL
2025-10-24 04:45:00,2025-10-24,Friday,04:45:00,4,45,0.0,0.74,0.74,0.0,-0.74,4.3,8.5,5.5,0.0,0.0,6.29,229.41125164289207,49.929305548994265,3.3867276887871856,0.95,NORMAL
2025-10-24 05:00:00,2025-10-24,Friday,05:00:00,5,0,0.0,0.8,0.8,0.0,-0.8,4.3,8.5,5.5,0.0,0.0,6.8,227.43373982625585,49.97246760763992,3.6613272311212817,0.95,NORMAL
2025-10-24 05:15:00,2025-10-24,Friday,05:15:00,5,15,0.0,0.85,0.85,0.0,-0.85,4.3,8.5,5.5,0.0,0.0,7.22,232.6064755815513,49.918274393829115,3.8901601830663615,0.95,NORMAL
2025-10-24 05:30:00,2025-10-24,Friday,05:30:00,5,30,0.0,0.77,0.77,0.0,-0.77,4.3,8.5,5.5,0.0,0.0,6.54,236.20848486109554,49.96388492225946,3.5240274599542336,0.95,NORMAL
2025-10-24 05:45:00,2025-10-24,Friday,05:45:00,5,45,0.0,0.84,0.84,0.0,-0.84,4.3,8.5,5.5,0.0,0.0,7.14,231.1760054242108,49.939269165909664,3.8443935926773456,0.95,NORMAL
2025-10-24 06:00:00,2025-10-24,Friday,06:00:00,6,0,0.19,2.3,2.11,0.0,-2.11,4.3,8.5,5.5,0.0,0.0,17.93,224.84086215068857,49.979043871190086,10.526315789473685,0.95,NORMAL
2025-10-24 06:15:00,2025-10-24,Friday,06:15:00,6,15,0.15,2.21,2.06,0.0,-2.06,4.3,8.5,5.5,0.0,0.0,17.51,232.81099701597864,50.03752932395144,10.11441647597254,0.95,NORMAL
2025-10-24 06:30:00,2025-10-24,Friday,06:30:00,6,30,0.0,2.22,2.22,0.0,-2.22,4.3,8.5,5.5,0.0,0.0,18.87,230.56850348557018,49.9726845411106,10.160183066361556,0.95,NORMAL
2025-10-24 06:45:00,2025-10-24,Friday,06:45:00,6,45,0.0,2.3,2.3,0.0,-2.3,4.3,8.5,5.5,0.0,0.0,19.55,231.59044925425135,49.93201509653649,10.526315789473685,0.95,NORMAL
2025-10-24 07:00:00,2025-10-24,Friday,07:00:00,7,0,0.84,2.36,1.52,0.0,-1.52,4.3,8.5,5.5,0.0,0.0,12.92,240.18432895218933,49.98085606631839,10.800915331807781,0.95,NORMAL
2025-10-24 07:15:00,2025-10-24,Friday,07:15:00,7,15,1.2,2.23,1.03,0.0,-1.03,4.3,8.5,5.5,0.0,0.0,8.76,229.3343522050107,49.93734439108132,10.205949656750573,0.95,NORMAL
2025-10-24 07:30:00,2025-10-24,Friday,07:30:00,7,30,1.05,2.27,1.22,0.0,-1.22,4.3,8.5,5.5,0.0,0.0,10.37,228.2594892591852,49.934509539759055,10.389016018306636,0.95,NORMAL
2025-10-24 07:45:00,2025-10-24,Friday,07:45:00,7,45,1.21,2.23,1.02,0.0,-1.02,4.3,8.5,5.5,0.0,0.0,8.67,229.89468613317322,49.882057396522406,10.205949656750573,0.95,NORMAL
2025-10-24 08:00:00,2025-10-24,Friday,08:00:00,8,0,2.2,2.35,0.15,0.0,-0.15,4.3,8.5,5.5,0.0,0.0,1.27,233.30408622686707,50.016757006330806,10.755148741418765,0.95,NORMAL
